     10.00      10.00 	 pPKPdiff 	 depth
     20.00      20.00 	 pPKPdiff 	 depth
     30.00      30.00 	 pPKPdiff 	 depth
     40.00      40.00 	 pPKPdiff 	 depth
     50.00      50.00 	 pPKPdiff 	 depth
     60.00      60.00 	 pPKPdiff 	 depth
     70.00      70.00 	 pPKPdiff 	 depth
     80.00      80.00 	 pPKPdiff 	 depth
     90.00      90.00 	 pPKPdiff 	 depth
    100.00     100.00 	 pPKPdiff 	 depth
    110.00     110.00 	 pPKPdiff 	 depth
    120.00     120.00 	 pPKPdiff 	 depth
    130.00     130.00 	 pPKPdiff 	 depth
    140.00     140.00 	 pPKPdiff 	 depth
    150.00     150.00 	 pPKPdiff 	 depth
    160.00     160.00 	 pPKPdiff 	 depth
    170.00     170.00 	 pPKPdiff 	 depth
    180.00     180.00 	 pPKPdiff 	 depth
    190.00     190.00 	 pPKPdiff 	 depth
    200.00     200.00 	 pPKPdiff 	 depth
    210.00     210.00 	 pPKPdiff 	 depth
    220.00     220.00 	 pPKPdiff 	 depth
    230.00     230.00 	 pPKPdiff 	 depth
    240.00     240.00 	 pPKPdiff 	 depth
    250.00     250.00 	 pPKPdiff 	 depth
    260.00     260.00 	 pPKPdiff 	 depth
    270.00     270.00 	 pPKPdiff 	 depth
    280.00     280.00 	 pPKPdiff 	 depth
    290.00     290.00 	 pPKPdiff 	 depth
    300.00     300.00 	 pPKPdiff 	 depth
    310.00     310.00 	 pPKPdiff 	 depth
    320.00     320.00 	 pPKPdiff 	 depth
    330.00     330.00 	 pPKPdiff 	 depth
    340.00     340.00 	 pPKPdiff 	 depth
    350.00     350.00 	 pPKPdiff 	 depth
    360.00     360.00 	 pPKPdiff 	 depth
    370.00     370.00 	 pPKPdiff 	 depth
    380.00     380.00 	 pPKPdiff 	 depth
    390.00     390.00 	 pPKPdiff 	 depth
    400.00     400.00 	 pPKPdiff 	 depth
    410.00     410.00 	 pPKPdiff 	 depth
    420.00     420.00 	 pPKPdiff 	 depth
    430.00     430.00 	 pPKPdiff 	 depth
    440.00     440.00 	 pPKPdiff 	 depth
    450.00     450.00 	 pPKPdiff 	 depth
    460.00     460.00 	 pPKPdiff 	 depth
    470.00     470.00 	 pPKPdiff 	 depth
    480.00     480.00 	 pPKPdiff 	 depth
    490.00     490.00 	 pPKPdiff 	 depth
    500.00     500.00 	 pPKPdiff 	 depth
    510.00     510.00 	 pPKPdiff 	 depth
    520.00     520.00 	 pPKPdiff 	 depth
    530.00     530.00 	 pPKPdiff 	 depth
    540.00     540.00 	 pPKPdiff 	 depth
    550.00     550.00 	 pPKPdiff 	 depth
    560.00     560.00 	 pPKPdiff 	 depth
    570.00     570.00 	 pPKPdiff 	 depth
    580.00     580.00 	 pPKPdiff 	 depth
    590.00     590.00 	 pPKPdiff 	 depth
    600.00     600.00 	 pPKPdiff 	 depth
    610.00     610.00 	 pPKPdiff 	 depth
    620.00     620.00 	 pPKPdiff 	 depth
    630.00     630.00 	 pPKPdiff 	 depth
    640.00     640.00 	 pPKPdiff 	 depth
    650.00     650.00 	 pPKPdiff 	 depth
    660.00     660.00 	 pPKPdiff 	 depth
    670.00     670.00 	 pPKPdiff 	 depth
    680.00     680.00 	 pPKPdiff 	 depth
    690.00     690.00 	 pPKPdiff 	 depth
    700.00     700.00 	 pPKPdiff 	 depth
